Dyad,Individual1,Individual2,PopID1&2,TrioML,Wang,LynchLi,LynchRd,Ritland,QuelletGt,DyadML,ind1_num,ind2_num,lo,hi,canon_pair,Distance_m,IN_ind_id,NEAR_ind_id,IN_sponge_id,NEAR_sponge_id,ind_id_Pair,sponge_id_Pair
562,grunt-124,grunt-133,grgr,0,-0.0699,0,-0.0568,-0.0587,-0.0707,0,124,133,124,133,124_133,22.62738526,124,133,GRU_11,GRU_14,124_133,GRU_11_GRU_14
560,grunt-124,grunt-125,grgr,0,-0.0702,0,-0.0269,-0.0288,-0.0285,0,124,125,124,125,124_125,0,124,125,GRU_11,GRU_11,124_125,GRU_11_GRU_11
98,golden-32,grunt-180,gogr,0,-0.0703,0,-0.0568,-0.0588,-0.0446,0,32,180,32,180,32_180,53.30994964,32,180,GOL_11,GRU_27,32_180,GOL_11_GRU_27
181,golden-52,grunt-124,gogr,0,-0.0703,0,-0.0809,-0.0818,-0.0958,0,52,124,52,124,52_124,67.17914744,52,124,GOL_18,GRU_11,52_124,GOL_18_GRU_11
274,golden-56,golden-63,gogo,0,-0.0705,0,-0.0332,-0.0352,-0.0498,0,56,63,56,63,56_63,74.72200473,56,63,GOL_19,GOL_25,56_63,GOL_19_GOL_25
289,golden-56,grunt-128,gogr,0,-0.0705,0,-0.0643,-0.066,-0.0631,0,56,128,56,128,56_128,90.33708545,56,128,GOL_19,GRU_12,56_128,GOL_19_GRU_12
451,golden-74,grunt-124,gogr,0,-0.0708,0,-0.0452,-0.0474,-0.0515,0,74,124,74,124,74_124,55.35305509,74,124,GOL_33,GRU_11,74_124,GOL_33_GRU_11
117,golden-42,golden-84,gogo,0,-0.0716,0,-0.0713,-0.073,-0.0799,0,42,84,42,84,42_84,83.66920238,42,84,GOL_13,GOL_39,42_84,GOL_13_GOL_39
550,grunt-103,long-206,grlo,0,-0.0718,0,-0.0938,-0.0937,-0.0902,0,103,206,103,206,103_206,4982.905508,103,206,GRU_07,LON_07,103_206,GRU_07_LON_07
86,golden-32,golden-84,gogo,0,-0.0752,0,-0.0893,-0.0901,-0.0775,0,32,84,32,84,32_84,94.02017877,32,84,GOL_11,GOL_39,32_84,GOL_11_GOL_39
242,golden-55,grunt-161,gogr,0,-0.0754,0,-0.129,-0.1249,-0.1221,0,55,161,55,161,55_161,79.10687734,55,161,GOL_19,GRU_21,55_161,GOL_19_GRU_21
165,golden-52,golden-59,gogo,0,-0.0758,0,-0.0846,-0.0856,-0.091,0,52,59,52,59,52_59,18.28786187,52,59,GOL_18,GOL_22,52_59,GOL_18_GOL_22
307,golden-59,golden-86,gogo,0,-0.0764,0,-0.0389,-0.041,-0.0508,0,59,86,59,86,59_86,104.1666897,59,86,GOL_22,GOL_41,59_86,GOL_22_GOL_41
153,golden-44,grunt-125,gogr,0,-0.0771,0,-0.0752,-0.0769,-0.0685,0,44,125,44,125,44_125,48.53845138,44,125,GOL_13,GRU_11,44_125,GOL_13_GRU_11
278,golden-56,golden-74,gogo,0,-0.0773,0,-0.0643,-0.0666,-0.0657,0,56,74,56,74,56_74,20.15264881,56,74,GOL_19,GOL_33,56_74,GOL_19_GOL_33
301,golden-59,golden-73,gogo,0,-0.0774,0,-0.0455,-0.048,-0.0435,0,59,73,59,73,59_73,7.557580505,59,73,GOL_22,GOL_33,59_73,GOL_22_GOL_33
123,golden-42,grunt-125,gogr,0,-0.0784,0,-0.0421,-0.0446,-0.0562,0,42,125,42,125,42_125,48.53845138,42,125,GOL_13,GRU_11,42_125,GOL_13_GRU_11
286,golden-56,grunt-104,gogr,0,-0.0784,0,-0.0574,-0.0599,-0.0614,0,56,104,56,104,56_104,75.90059549,56,104,GOL_19,GRU_08,56_104,GOL_19_GRU_08
402,golden-65,grunt-156,gogr,0,-0.0784,0,-0.0532,-0.0556,-0.0591,0,65,156,65,156,65_156,55.38292113,65,156,GOL_26,GRU_18,65_156,GOL_26_GRU_18
277,golden-56,golden-73,gogo,0,-0.0788,0,-0.0523,-0.0548,-0.0572,0,56,73,56,73,56_73,20.15264881,56,73,GOL_19,GOL_33,56_73,GOL_19_GOL_33
414,golden-69,grunt-103,gogr,0,-0.0801,0,-0.0663,-0.0684,-0.0566,0,69,103,69,103,69_103,77.84703562,69,103,GOL_29,GRU_07,69_103,GOL_29_GRU_07
417,golden-69,grunt-125,gogr,0,-0.0805,0,-0.0555,-0.0579,-0.0529,0,69,125,69,125,69_125,89.67661862,69,125,GOL_29,GRU_11,69_125,GOL_29_GRU_11
567,grunt-124,long-206,grlo,0,-0.0812,0,-0.0729,-0.075,-0.088,0,124,206,124,206,124_206,4995.852473,124,206,GRU_11,LON_07,124_206,GRU_11_LON_07
