ind_id,Sponge_width_cm,Depth,Group_size,TL_mm,Rank,mt_lineage,nc_lineage,Sponge_id,S_species,S_colour,Reef,AVG.TL_mm,is_male,egg_count,eggs,age
Risor_169,11.9075747,5.8,1,14.26,1,2,NA,GOL_56,Ircinia felix,Light,GOL,14.26,0,0,0,NA
Risor_170,20.2007438,5.4,2,14.84,2,2,NA,GOL_57,Ircinia felix,Light,GOL,17.12,0,0,0,NA
Risor_171,20.2007438,5.4,2,19.4,1,2,NA,GOL_57,Ircinia felix,Light,GOL,17.12,1,0,0,NA
Risor_172,17.8410573,5.6,1,9.98,1,NA,NA,GOL_58,Ircinia felix,Light,GOL,9.98,0,0,0,NA
Risor_095,17.6263677,5.6,1,17.84,1,2,NA,GRU_01,Ircinia ruetzleri,Light,GRU,17.84,0,0,0,NA
Risor_096,12.05166956,5.9,1,13.5,1,2,NA,GRU_02,Ircinia felix,Light,GRU,13.5,0,0,0,NA
Risor_097,22.56539051,5.5,1,9.88,1,2,NA,GRU_03,Ircinia campana,Medium,GRU,9.88,0,0,0,NA
Risor_098,16.88744089,6.3,3,14.24,1,2,NA,GRU_04,Ircinia felix,Medium,GRU,10.87666667,1,0,0,NA
Risor_099,16.88744089,6.3,3,9.64,2,2,NA,GRU_04,Ircinia felix,Medium,GRU,10.87666667,0,0,0,NA
Risor_100,16.88744089,6.3,3,8.75,3,2,NA,GRU_04,Ircinia felix,Medium,GRU,10.87666667,na,0,0,NA
Risor_101,13.17279911,6.5,1,10.95,1,NA,2,GRU_05,Ircinia felix,Light,GRU,10.95,0,0,0,NA
Risor_102,36.72737213,7.9,1,14.112,1,2,NA,GRU_06,Ircinia campana,Light,GRU,14.112,0,0,0,NA
Risor_103,19.33343618,7.8,1,18.05,1,2,2,GRU_07,Ircinia felix,Light,GRU,18.05,0,0,0,NA
Risor_104,25.93039239,6.6,1,14.13,1,2,2,GRU_08,Ircinia campana,Medium,GRU,14.13,0,0,0,NA
Risor_105,33.06757408,7.6,7,15.6,2,2,NA,GRU_09,Ircinia strobilina,Dark,GRU,14.20571429,0,0,0,65
Risor_106,33.06757408,7.6,7,17.15,1,2,NA,GRU_09,Ircinia strobilina,Dark,GRU,14.20571429,0,0,0,38
Risor_107,33.06757408,7.6,7,15.28,3,3,NA,GRU_09,Ircinia strobilina,Dark,GRU,14.20571429,0,0,0,35
Risor_108,33.06757408,7.6,7,14.25,4,NA,NA,GRU_09,Ircinia strobilina,Dark,GRU,14.20571429,1,0,0,49
Risor_109,33.06757408,7.6,7,13.6,5,NA,NA,GRU_09,Ircinia strobilina,Dark,GRU,14.20571429,0,0,0,51
Risor_110,33.06757408,7.6,7,11.02,7,2,NA,GRU_09,Ircinia strobilina,Dark,GRU,14.20571429,0,0,0,47
Risor_111,33.06757408,7.6,7,12.54,6,NA,NA,GRU_09,Ircinia strobilina,Dark,GRU,14.20571429,0,0,0,40
Risor_123,19.36891203,8.5,1,13.64,1,NA,NA,GRU_10,Ircinia strobilina,Dark,GRU,13.64,0,0,0,NA
Risor_124,15.10909103,8.5,3,19.58,1,2,2,GRU_11,Ircinia strobilina,Dark,GRU,13.96666667,0,0,0,NA
Risor_125,15.10909103,8.5,3,11.78,2,NA,2,GRU_11,Ircinia strobilina,Dark,GRU,13.96666667,0,0,0,NA
Risor_126,15.10909103,8.5,3,10.54,3,2,NA,GRU_11,Ircinia strobilina,Dark,GRU,13.96666667,0,0,0,NA
Risor_127,18.60541905,7.3,4,16.54,1,2,1,GRU_12,Ircinia strobilina,Dark,GRU,13.47,1,0,0,NA
Risor_128,18.60541905,7.3,4,15.14,2,2,2,GRU_12,Ircinia felix,Medium,GRU,13.47,0,0,0,NA
Risor_129,18.60541905,7.3,4,11.47,3,2,NA,GRU_12,Ircinia felix,Medium,GRU,13.47,0,0,0,NA
Risor_130,18.60541905,7.3,4,10.73,4,2,NA,GRU_12,Ircinia felix,Medium,GRU,13.47,0,0,0,NA
Risor_131,19.94427702,7.3,2,14.64,1,NA,NA,GRU_13,Ircinia ruetzleri,Light,GRU,13.605,0,0,0,NA
Risor_132,19.94427702,7.3,2,12.57,2,2,NA,GRU_13,Ircinia ruetzleri,Light,GRU,13.605,0,0,0,NA
Risor_133,19.49469793,7.6,4,16.03,1,NA,2,GRU_14,Ircinia strobilina,Dark,GRU,13.5675,1,0,0,NA
Risor_134,19.49469793,7.6,4,14.14,2,2,NA,GRU_14,Ircinia strobilina,Dark,GRU,13.5675,0,0,0,NA
Risor_135,19.49469793,7.6,4,13.77,3,NA,NA,GRU_14,Ircinia strobilina,Dark,GRU,13.5675,0,0,0,NA
Risor_136,19.49469793,7.6,4,10.33,4,NA,NA,GRU_14,Ircinia strobilina,Dark,GRU,13.5675,0,0,0,NA
Risor_137,13.79504939,7.8,3,18.17,1,NA,2,GRU_15,Ircinia ruetzleri,Light,GRU,15.88333333,0,0,0,NA
Risor_138,13.79504939,7.8,3,16.68,2,2,NA,GRU_15,Ircinia ruetzleri,Light,GRU,15.88333333,1,0,0,NA
Risor_139,13.79504939,7.8,3,12.8,3,NA,NA,GRU_15,Ircinia ruetzleri,Light,GRU,15.88333333,0,0,0,NA
Risor_140,35.33143161,6.3,14,14.35,10,3,NA,GRU_16,Ircinia strobilina,Dark,GRU,14.36928571,0,0,0,30
Risor_141,35.33143161,6.3,14,17.97,1,2,NA,GRU_16,Ircinia strobilina,Dark,GRU,14.36928571,1,0,0,54
Risor_142,35.33143161,6.3,14,16.67,2,2,NA,GRU_16,Ircinia strobilina,Dark,GRU,14.36928571,1,0,0,61
Risor_143,35.33143161,6.3,14,14.66,8,NA,NA,GRU_16,Ircinia strobilina,Dark,GRU,14.36928571,1,0,0,35
Risor_144,35.33143161,6.3,14,15.11,4,NA,NA,GRU_16,Ircinia strobilina,Dark,GRU,14.36928571,0,0,0,70
Risor_145,35.33143161,6.3,14,14.78,7,NA,NA,GRU_16,Ircinia strobilina,Dark,GRU,14.36928571,1,0,0,54
Risor_146,35.33143161,6.3,14,15.99,3,NA,NA,GRU_16,Ircinia strobilina,Dark,GRU,14.36928571,0,0,0,39
Risor_147,35.33143161,6.3,14,14.53,9,NA,NA,GRU_16,Ircinia strobilina,Dark,GRU,14.36928571,0,0,0,45
Risor_148,35.33143161,6.3,14,14.8,6,NA,NA,GRU_16,Ircinia strobilina,Dark,GRU,14.36928571,1,0,0,49
Risor_149,35.33143161,6.3,14,10.26,13,2,NA,GRU_16,Ircinia strobilina,Dark,GRU,14.36928571,0,0,0,31
Risor_150,35.33143161,6.3,14,9.29,14,NA,NA,GRU_16,Ircinia strobilina,Dark,GRU,14.36928571,0,0,0,35
Risor_151,35.33143161,6.3,14,13.95,11,2,NA,GRU_16,Ircinia strobilina,Dark,GRU,14.36928571,1,0,0,46
Risor_152,35.33143161,6.3,14,14.87,5,NA,NA,GRU_16,Ircinia strobilina,Dark,GRU,14.36928571,0,0,0,57
Risor_153,35.33143161,6.3,14,13.94,12,NA,NA,GRU_16,Ircinia strobilina,Dark,GRU,14.36928571,0,0,0,49
Risor_154,16.99920499,7,2,20.28,1,2,NA,GRU_17,Ircinia campana,Medium,GRU,19.535,1,0,0,NA
Risor_155,16.99920499,7,2,18.79,2,2,NA,GRU_17,Ircinia campana,Medium,GRU,19.535,0,140,1,NA
Risor_156,36.87315497,7.7,2,13.94,2,2,2,GRU_18,Ircinia campana,Medium,GRU,16.76,0,0,0,NA
Risor_157,36.87315497,7.7,2,19.58,1,2,NA,GRU_18,Ircinia campana,Medium,GRU,16.76,1,0,0,NA
Risor_159,17.87338954,7.7,2,13.41,1,NA,1,GRU_19,Ircinia campana,Light,GRU,12.325,0,0,0,NA
Risor_158,17.87338954,7.7,2,11.24,2,NA,NA,GRU_19,Ircinia campana,Light,GRU,12.325,0,0,0,NA
Risor_160,15.40296594,8.4,1,16.39,1,NA,NA,GRU_20,Ircinia felix,Medium,GRU,16.39,0,70,1,NA
Risor_161,43.86917309,6,1,19.98,1,NA,2,GRU_21,Ircinia campana,Light,GRU,19.98,0,139,1,NA
Risor_173,28.07672308,5.8,1,14.54,1,2,NA,GRU_22,Ircinia campana,Medium,GRU,14.54,0,70,1,NA
Risor_174,16.64011142,5.9,1,15.4,1,NA,NA,GRU_23,Ircinia felix,Dark,GRU,15.4,na,0,0,NA
Risor_175,10.19250361,5.6,1,14.06,1,2,NA,GRU_24,Ircinia felix,Light,GRU,14.06,1,0,0,NA
Risor_176,23.36585249,5.8,2,16.52,2,2,NA,GRU_25,Ircinia campana,Light,GRU,17.62,0,0,0,NA
Risor_177,23.36585249,5.8,2,18.72,1,2,NA,GRU_25,Ircinia campana,Light,GRU,17.62,0,0,0,NA
Risor_178,11.91206009,6.9,1,11.76,1,NA,NA,GRU_26,Ircinia felix,Light,GRU,11.76,0,0,0,NA
Risor_180,19.48627795,7.5,2,11.99,2,2,2,GRU_27,Ircinia felix,Light,GRU,15.785,0,0,0,NA
Risor_179,19.48627795,7.5,2,19.58,1,2,NA,GRU_27,Ircinia felix,Light,GRU,15.785,0,0,0,NA
Risor_181,24.53674468,6.7,4,17.33,1,NA,1,GRU_28,Ircinia felix,Medium,GRU,16.04,1,0,0,NA
Risor_182,24.53674468,6.7,4,16.89,2,NA,NA,GRU_28,Ircinia felix,Medium,GRU,16.04,0,0,0,NA
Risor_183,24.53674468,6.7,4,14.54,4,NA,NA,GRU_28,Ircinia felix,Medium,GRU,16.04,0,0,0,NA
Risor_184,24.53674468,6.7,4,15.4,3,NA,NA,GRU_28,Ircinia felix,Medium,GRU,16.04,1,0,0,NA
Risor_185,14.56537257,7.3,1,14.06,1,2,NA,GRU_29,Ircinia felix,Light,GRU,14.06,1,0,0,NA
Risor_186,31.51513935,6.7,3,16.52,2,2,NA,GRU_30,Ircinia felix,Medium,GRU,15.66666667,0,100,1,NA
Risor_187,31.51513935,6.7,3,18.72,1,2,NA,GRU_30,Ircinia felix,Medium,GRU,15.66666667,1,0,0,NA
Risor_188,31.51513935,6.7,3,11.76,3,NA,NA,GRU_30,Ircinia felix,Medium,GRU,15.66666667,0,0,0,NA
Risor_189,17.21610479,6,2,13.47,2,NA,NA,GRU_31,Ircinia felix,Light,GRU,14.15,1,0,0,NA
Risor_190,17.21610479,6,2,14.83,1,NA,NA,GRU_31,Ircinia felix,Light,GRU,14.15,0,0,0,NA
